"{I}r	ir
"{W}az	waz
Alarîcus	Alaricus
Ala⸗ricum	Alaricum
Alb	Albreht
Albereht	Albreht
Alberh	Albert
Albrecht	Albreht
Albrechte	Albrehte
Albrechtes	Albrehtes
Albrechtis	Albrehtes
Albret	Albreht
Albreth	Albreht
Albrethe	Albrehte
Albrethen	Albrehten
Albrethis	Albrehtes
Albrich	Alprîch
Albriche	Alprîche
Albrichæ	Alprîche
Alcehant	alzehant
Alceigen	Alzeien
Alchimꝰ	Alchimus
Alchímvs	--
Alciz	ahtzic
Alciͤgen	Alzeien
Alcſides	Alzides
Ald	alde
Alda	aldâ
Aldar	aldâr
Alde	alte
Alden	alten
Aldenmulh	Aldenmulch
Aldenmūſter	Altenmünster
Alder	alder
Aldere	altere
Aldin	alten
Aldort	[!!]
Aldur	aldurh
Aldurch	aldurch
Aldus	aldus
Alduſ	aldus
Alduͦs	aldus
Ale	alle
Aleandeſ	alandes
Alediſte	alteste
Alein	alein
Aleine	[!!]
Alekin	Aleken
Alekín	Aleken
Alemandînin	Alemandînen
Alemanni	Alemannî
Alemanniā	Alemanniam
Alena	Helena
Alermenlich	allermannegelîch
Alexanderin	Alexanderen
Alexandrie	Alexandriae
Alexandro	Alexandrô
Alexandrū	Alexandrum
Alexand͛	Alexander
Aleíne	aleine
Aleýde	Aleide
Alfabinen	Alfabînen
Alfo	alsô
Alfrich	Alfric
Alfrichen	Alfricken
Algilich	algelîche
Algiſhuſen	Algeshûsen
Algiſhvſen	Algeshûsen
Algliche	[!!]
Alheit	Adelheit
Alher	alher
Alheyd	Adelheit
Alhi	alhier
Alhie	alhier
Alhier	[!!]
Alhiͤ	alhier
Alias	alias
Alin	allen
Alio	alio
Alioſ	alios
Aliud	aliut
Aliuſ	alius
Alivd	--
Alixander	Alexander
Aliz	allez
Alkerhuͦſen	Alkerhûsen
All	al
Alle	alle
Allein	alein
Alleine	aleine
Alleluia	alleluja
Alleluía	--
Allelvia	alleluja
Allem	allem
