sigle,dialect,period,corpus
M192,obd,13_1,ReM
M193,bair,12_2,ReM
M194,bair,13_1,ReM
M195,bair,12_2,ReM
M195Y,bair,12_2,ReM
M196,bairalem,13_1,ReM
M197,obd,11-12_1,ReM
M198,bair,13_1,ReM
M199A,wmd,12_2,ReM
M199B,obd,12_2,ReM
M199C,omd_ofrk,12_2,ReM
M200,omd_ofrk,12_2,ReM
M201,md,13_2,ReM
M202,bair,12_2,ReM
M203,obd,11-12_1,ReM
M204,wmd,12_2,ReM
M205A,mdnd,12-13_1,ReM
M205E,wmd,13_1,ReM
M205M,mdnd,12-13_1,ReM
M205P,bair,12_2,ReM
M205S,mdnd,12-13_1,ReM
M205T,wmd,13_1,ReM
M205W,thurhess,13_1,ReM
M206,mdnd,12-13_1,ReM
M207,bair,12_2,ReM
M208,bair,12_2,ReM
M209,alem,12_2,ReM
M210,bair,13_1,ReM
M212,bair,12_2,ReM
M213,wmd,13_1,ReM
M214,bairalem,12_2,ReM
M214W,obd,13_1,ReM
M214Y,bairalem,12_2,ReM
M217,bairalem,12_2,ReM
M218A,obd,11-12_1,ReM
M218B,obd,11-12_1,ReM
M219,bair,13_1,ReM
M220M,obd,11-12_1,ReM
M220P,obd,11-12_1,ReM
M221,bair,12_2,ReM
M222,wmd,13_1,ReM
M223,bair,12_2,ReM
M224,bair,12_2,ReM
M225,bair,12_2,ReM
M226,mdnd,12-13_1,ReM
M227,alem,13_2,ReM
M228,obd,13_1,ReM
M229,bairalem,12_2,ReM
M230,obd,11-12_1,ReM
M232,wmd,13_1,ReM
M233,bair,13_1,ReM
M234,bair,12_2,ReM
M235,obd,11-12_1,ReM
M236,bair,13_1,ReM
M238,bair,12_2,ReM
M239,md,13_2,ReM
M240B,omd_ofrk,12_2,ReM
M241,bair,13_1,ReM
M241E,alem,13_1,ReM
M241I,bair,13_1,ReM
M241Y,bair,13_1,ReM
M242,obd,11_2-12_1,ReM
M242Y,obd,11-12_1,ReM
M243,md,13_2,ReM
M244,obd,11_2-12_1,ReM
M246,bair,12_2,ReM
M247,obd,11-12_1,ReM
M248,bair,13_1,ReM
M249,bair,13_1,ReM
M250,bair,12_2,ReM
M251,wmd,12_2,ReM
M252,obd,11-12_1,ReM
M253,bair,13_1,ReM
M254,bair,13_1,ReM
M255,bair,13_1,ReM
M301,omd,13_2,ReM
M302,bair,13_2,ReM
M303,mfrk,13_2,ReM
M304,bair,13_2,ReM
M305,rhfrhess,14_1,ReM
M306,rhfrhess,14_1,ReM
M307,alem,13_1,ReM
M308,mfrk,14_1,ReM
M309,bairalem,14_1,ReM
M310,rhfrhess,13_2,ReM
M311,omd,14_1,ReM
M312,obd,13_1,ReM
M313,mfrk,13_2,ReM
M314,bair,13_2,ReM
M315,omd,14_1,ReM
M316,ofrk,14_1,ReM
M317,alem,14_1,ReM
M318,omd,14_1,ReM
M319,bair,14_1,ReM
M320,omd,13_2,ReM
M321,obd,13_1,ReM
M322,alem,14_1,ReM
M323,bair,14_1,ReM
M324,rhfrhess,14_1,ReM
M325,obd,13_1,ReM
M326,omd,14_1,ReM
M327,mfrk,13_2,ReM
M328,rhfrhess,13_2,ReM
M329,bair,13_1,ReM
M330,thurhess,13_1,ReM
M331,rhfrhess,14_1,ReM
M332,alem,13_2,ReM
M333,alem,14_1,ReM
M334,ofrk,14_1,ReM
M335,wmd,13_1,ReM
M336,alem,13_2,ReM
M337,rhfrhess,13_2,ReM
M338,ofrk,14_1,ReM
M339,alem,13_2,ReM
M340,mfrk,14_1,ReM
M341,alem,13_1,ReM
M342,obd,13_1,ReM
M343,bairalem,14_1,ReM
M344,bairalem,13_2,ReM
M345,bairalem,14_1,ReM
M346,alem,13_2,ReM
M347,alem,14_1,ReM
M348,omd,14_1,ReM
M349,mfrk,13_2,ReM
M350,mfrk,14_1,ReM
M351,bair,14_1,ReM
M352,rhfrhess,14_1,ReM
M353,ofrk,14_1,ReM
M354,mfrk,13_2,ReM
M355,bairalem,13_2,ReM
M356,ofrk,14_1,ReM
M357,mfrk,14_1,ReM
M358,bairalem,13_1,ReM
M359,alem,13_2,ReM
M401,bairalem,14_1,ReM
M402,omd,14_1,ReM
M402Y,omd,14_1,ReM
M403,bair,13_2,ReM
M403Y,bair,13_2,ReM
M404,mfrk,14_1,ReM
M405,bairalem,13_2,ReM
M405Y,bairalem,13_2,ReM
M406,ofrk,14_1,ReM
M406Y,ofrk,14_1,ReM
M407,rhfrhess,14_1,ReM
M407Y,rhfrhess,14_1,ReM
M408,omd,13_2,ReM
M409,bair,13_1,ReM
M410,bair,14_1,ReM
M411,bairalem,13_2,ReM
M501,bair,13_1,ReM
M503,bairalem,13_1,ReM
M504,wmd,13_1,ReM
M505,wmd,13_1,ReM
M506,thurhess,13_1,ReM
M507,thurhess,13_1,ReM
M508,bair,13_2,ReM
M509,bair,13_2,ReM
M510,bair,13_2,ReM
M512,bairalem,13_2,ReM
M513,alem,13_2,ReM
M514,alem,13_2,ReM
M516,md,13_2,ReM
M517,md,13_2,ReM
M518,obd,14_1,ReM
M520,obd,14_1,ReM
M521,obd,14_1,ReM
M522,obd,14_1,ReM
M523,obd,14_1,ReM
M524,obd,14_1,ReM
M525,obd,14_1,ReM
M527,mfrk,14_1,ReM
M528,mfrk,14_1,ReM
M529,mfrk,14_1,ReM
M530,mfrk,14_1,ReM
M531,mfrk,14_1,ReM
M532,rhfrhess,14_1,ReM
M533,rhfrhess,14_1,ReM
M536,omd,14_1,ReM
M537,omd,14_1,ReM
M538,omd,14_1,ReM
M539,ofrk,14_1,ReM
M540,ofrk,14_1,ReM
M541B,thurhess,14_1,ReM
M541H,thurhess,14_1,ReM
M541S,rhfrhess,14_1,ReM
M543,wmd,13_1,ReM
M544A,mfrk,13_2,ReM
