sigle,title,period,dialect,typecode,ANNIS-Gruppe,Datierung (Text),Datierung (Hs.),Textbereich,Textsorte,Textart,Sprache (Hs.)/ Schreibort
M130,M130: Leis Troyes 3</h4>,12_2,wmd,PVU-X,12_2-wmd-PVU-X,–,"12-13 (Catalogue Général, S. 368); 12, nicht vor dem Jahr 1180 (Hüffer, S. 99 und 101, Anm. 2).",Religion,Kirchenlied,P,oberdeutsch
M131,M131: Lob Salomons</h4>,12_2,bair,V_2-X,12_2-bair-V_2-X,–,"12,E (vgl. Schneider S. 37f.)","Religion, Poesie",Bibeldichtung,V,bairisch
M132G,M132G: Lucidarius (Gö1)</h4>,13_1,alem,PV-G,13_1-alem-PV-G,um 1190-95,"13,2V-13,M",Wissen(-schaft),Lehrgespräch,P,alemannisch
M132W,M132W: Lucidarius W</h4>,13_1,bair,P-X,13_1-bair-P-X,–,"12,M",Wissen(-schaft),Lehrgespräch,P,bairisch
M133,M133: Halberstädter Makkabäer</h4>,12_2,wmd,PVU-X,12_2-wmd-PVU-X,–,"12,A (Kraus S. 147; Karin Schneider brieflich am 23.7.2008)","Religion, Poesie",Bibeldichtung,V,mitteldeutsch
M134,M134: Mariengebet</h4>,13_1,obd,PV-X,13_1-obd-PV-X,12,"um 1200/13,A","Religion, Poesie",Gebet,V,oberdeutsch
M135,M135: Ältere niederrheinische Marienklage</h4>,13_2,md,V-X,13_2-md-V-X,"13,A (?)","13,3V","Religion, Poesie",Mariendichtung,V,mittelfränkisch
M136,M136: Arnsteiner Marienlied</h4>,12_2,wmd,PV-G,12_2-wmd-PV-G,"12,M","12,3D (nicht vor den siebziger Jahren)","Religion, Poesie",Mariendichtung,V,"mittelfränkisch, rheinfränkisch"
M137,M137: Melker Marienlied</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,–,"1123-1142 (Strobl, S. 2 der unpaginierten Vorrede)","Religion, Poesie",Mariendichtung,V,bairisch
M138,M138: Vorauer Marienlob (Bücher Mosis 4)</h4>,12_2,bair,V_2-X,12_2-bair-V_2-X,um 1130,"12,4V","Religion, Poesie",Mariendichtung,V,bairisch
M139,M139: Marienmirakel</h4>,13_1,bair,V-X,13_1-bair-V-X,–,–,"Religion, Poesie",Mariendichtung,V,"bairisch (mit mitteldeutschem Einschlag, Sschneider 2005)"
M140,M140: Mariensequenz aus Muri (A)</h4>,12_2,alem,PV-X,12_2-alem-PV-X,–,"12,E; um 1200","Religion, Poesie",Mariendichtung,V,alemannisch
M140B,M140B: Mariensequenz aus Muri (B)</h4>,12_2,alem,PV-X,12_2-alem-PV-X,um 1180-90,"12,E-13,A","Religion, Poesie",Mariendichtung,V,alemannisch
M140C,M140C: Mariensequenz aus Muri (C)</h4>,13_1,alem,PV-X,13_1-alem-PV-X,um 1180-90,–,"Religion, Poesie",Mariendichtung,V,alemannisch
M140D,M140D: Mariensequenz aus Muri (D)</h4>,13_1,bairalem,PV-X,13_1-bairalem-PV-X,um 1180-90,"13,1V","Religion, Poesie",Mariendichtung,V,"ostoberdeutsch, alemannisch"
M141,M141: Die Mariensequenz aus St. Lambrecht (Seckau)</h4>,13_1,bair,V-X,13_1-bair-V-X,–,"13,1V nicht vor 1200 (Schneider S. 90)","Religion, Poesie",Mariendichtung,V,bairisch
M142,M142: Memento Mori</h4>,11_2-12_1,obd,PV-G,11_2-12_1-obd-PV-G,nach 1065,bald nach 1130,"Religion, Poesie",Predigt,V,alemannisch
M143,M143: Merigarto</h4>,11_2-12_1,obd,PV-G,11_2-12_1-obd-PV-G,11,"12,1V","Wissen(-schaft), Poesie",Lehrdichtung,V,bairisch
M144,M144: Messgebet 'Got vater allir cristinheit' mit dt. Gebetsanweisung</h4>,13_1,alem,PV-X,13_1-alem-PV-X,"12-13,A","13,1V","Religion, Poesie",Gebet,PV,alemannisch
M145,"M145: gereimtes Messgebet  'Vater herre, vater got'</h4>",12_2,bair,V_1-X,12_2-bair-V_1-X,–,"Psalter: um 1200; dt. Nachträge: 13,1","Religion, Poesie",Gebet,V,bairisch
M146,M146: Monatsregeln für die Wahl eines Freundes</h4>,12_2,bairalem,PV-X,12_2-bairalem-PV-X,–,"12,E (Menhardt, S. 69, und Assion, Sp. 665)","Wissen(-schaft), Alltag",–,V,bairisch
M147,M147: Grazer Monatsregeln</h4>,13_1,bair,P-X,13_1-bair-P-X,–,"13,1V, nicht vor 1200 (Schneider S. 90)","Wissen(-schaft), Alltag",–,P,bairisch
M148,M148: Kölner Morgensegen</h4>,13_2,mfrk,PU-X,13_2-mfrk-PU-X,13 (?),"13,3V","Religion, Alltag",Segen,P,mittelfränkisch
M149,M149: Vorauer Moses  (Bücher Mosis 3)</h4>,12_2,bair,V_2-X,12_2-bair-V_2-X,um 1130,"12,4V; 13,A",Religion,Bibeldichtung,V,bairisch
M150,M150: Otlohs Gebet</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,"11,2",nach 1067,Religion,Gebet,P,bairisch
M151,M151: Patricius</h4>,13_1,bairalem,PV-X,13_1-bairalem-PV-X,–,"13,2V",Religion,Heiligenlegende,V,ostschwäbisch
M152,M152: Rheinauer Paulus</h4>,11_2-12_1,obd,PV-G,11_2-12_1-obd-PV-G,um 1100,"12,1D","Religion, Poesie","Bibeldichtung, Sündenklage",V,alemannisch
M153,M153: Vatikanische Pferdesegen 'Ad pestem equi / Ad equum infusum'</h4>,11-12_1,rhfrhess,PV-X,11-12_1-rhfrhess-PV-X,–,um 1100,Religion,–,P,rheinfränkisch
M154,M154: Physiologus S (Schäftlarner Fragment)</h4>,12_2,bair,P-X,12_2-bair-P-X,–,"um 1200; 12,E (Wilhelm S. 46)",Wissen(-schaft),–,P,bairisch
M155,M155: Physiologus (Älterer/Ahd. Physiologus)</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,um 1070,–,"Wissen(-schaft), Religion","Naturlehre, christliche Allegorese",P,alemannisch/ Hirsau (?)
M156,M156: Millstätter Physiologus</h4>,13_1,bair,V-X,13_1-bair-V-X,–,"um 1200/13,A","Religion, Poesie",–,V,südbairisch
M157,M157: Wiener Physiologus (Jüngerer Physiologus)</h4>,12_2,bair,PV-G,12_2-bair-PV-G,um 1120,"12,4V","Wissen(-schaft), Religion",allegorische Naturlehre,P,"ostoberdeutsch, westoberdeutsch"
M158,M158: Pilatus</h4>,13_1,thurhess,PV-X,13_1-thurhess-PV-X,13/A (?),"13,A","Religion, Poesie",Legende,V,hessisch-thüringisch
M159,M159: Londoner Predigt(fragment)</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,–,"12,M (Priebsch, S. 303)",Religion,Predigt,P,bairisch-alemannisch
M160H,M160H: Priester Konrad: Predigtbuch (Ha)</h4>,13_1,bair,P-X,13_1-bair-P-X,12,–,Religion,Predigt,P,bairisch
M160M,"M160M: Predigten, Priester Konrad (M1)</h4>",12_2,bair,P-X,12_2-bair-P-X,–,"12,E;  um 1200 (Schneider S. 50)",Religion,Predigt,P,bairisch (östliches oder nördliches Bayern)
M160P,M160P: Rothsche Predigtsammlung (P) / Priester Konrad: Predigtbuch (P)</h4>,13_1,bair,P-X,13_1-bair-P-X,12/13 (?),"13,2V",Religion,Predigt,P,südbairisch
M160R,M160R: Rothsche Predigtsammlung [Überlieferungskomplex Priester Konrad (R)]</h4>,13_1,bair,P-X,13_1-bair-P-X,–,"13,1V (Schneider Textband S. 83)",Religion,Predigt,P,bairisch
M161,M161: Millstätter Predigtsammlung (M/G T 35)</h4>,13_2,bair,P-X,13_2-bair-P-X,–,"13,M",Religion,Predigt,P,bairisch/ Tirol (?)
M163B,"M163B: Predigten, M/G T 36, Basler Fragmente</h4>",12_2,alem,PV-X,12_2-alem-PV-X,–,"12,E-13,A (Morvay/Grube S. 29)",Religion,Predigt,P,alemannisch
M163K,"M163K: Predigten (M/G T 36), Krakauer Fragmente</h4>",12_2,bair,P-X,12_2-bair-P-X,–,–,Religion,Predigt,P,bairisch
M165,M165: Hoffmannsche Predigtsammlung</h4>,13_1,bairalem,PV-G,13_1-bairalem-PV-G,12/13?,"13,1D",Religion,Predigt,P,westbairisch-ostalemannisch
M167,M167: Leipziger Predigten (Fragment I)</h4>,13_1,thurhess,PV-X,13_1-thurhess-PV-X,12/13 (?),–,Religion,Predigt,P,mitteldeutsch
M168,M168: Leysersche Predigten (M/G T 15)</h4>,13_1,bair,P-X,13_1-bair-P-X,–,"13,A (Leyser S. XXII)",Religion,Predigt,P,südbairisch
M171,"M171: Predigten, Züricher</h4>",12_2,alem,PV-G,12_2-alem-PV-G,12,"12,E / um 1200",Religion,Predigt,P,alemannisch
M172,M172: Prager Predigtentwürfe (M/G T 31)</h4>,13_1,obd,PV-X,13_1-obd-PV-X,–,"13,2V",Religion,Predigt,P,"ostfränkisch, nordbairisch, böhmisch"
M173,M173: Predigtfragment (M/G T 8)</h4>,12_2,bairalem,PV-X,12_2-bairalem-PV-X,–,um 1200 (Palmer S. 211),Religion,Predigt,P,bairisch-ostalemannisch
M174,M174: Predigtfragmente</h4>,12_2,bair,P-X,12_2-bair-P-X,–,"12,3V (Schneider, S. 393)",Religion,Predigt,P,bairisch
M177,M177: Predigtfragmente (M/G T 37c)</h4>,12_2,thurhess,PV-G,12_2-thurhess-PV-G,12,"12,E - 13,A",Religion,Predigt,P,hessisch-thüringisch
M178,M178: Predigtfragmente (M/G T 43)</h4>,12_2,bair,P-X,12_2-bair-P-X,–,–,Religion,Predigt,P,bairisch
M182A,M182A: Wessobrunner (Ahd.) Predigtsammlung A</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,11,um 1100,Religion,Predigt,P,bairisch
M182B,M182B: Wessobrunner (Ahd.) Predigtsammlung B</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,11,um 1100,Religion,Predigt,P,bairisch
M182C,M182C: Wessobrunner (Ahd.) Predigtsammlung C</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,11,um 1100,Religion,Predigt,P,bairisch
M185,"M185: Psalm 88, Interlinearversion</h4>",13_1,bair,P-X,13_1-bair-P-X,"12-13,A","13,1V",Religion,Psalmenübersetzung,P,bairisch/ Chorfrauenstift Seckau
M186,M186: Rheinfränkische Interlinearversion der Psalmen</h4>,11-12_1,rhfrhess,PV-X,11-12_1-rhfrhess-PV-X,–,–,Religion,Psalmenübersetzung,P,rheinfränkisch
M187,M187: Schleizer Psalmenfragmente</h4>,12-13_1,mdnd,PV-X,12-13_1-mdnd-PV-X,12,–,Religion,Psalmenübersetzung,P,"mitteldeutsch, niederdeutsch"
M188,M188: Trierer Interlinearversion zum Psalter</h4>,12_2,wmd,PV-G,12_2-wmd-PV-G,12,um 1200,Religion,Psalmenübersetzung,P,"rheinfränkisch, alemannisch"
M188Y,M188Y: Trierer Interlinearversion zum Psalter</h4>,12_2,wmd,PVU-X,12_2-wmd-PVU-X,–,um 1200,Religion,Psalmenübersetzung,P,rheinfränkisch
M189,M189: Wiggertsche Psalmenfragmente</h4>,12-13_1,mdnd,PV-X,12-13_1-mdnd-PV-X,12,"12,M",Religion,Psalmenübersetzung,P,"niederdeutsch, hochdeutsch"
M191,M191: Schlierbacher Psalmenfragmente</h4>,12_2,omd_ofrk,PV-X,12_2-omd_ofrk-PV-X,–,um 1200,Religion,Psalmenübersetzung,P,"ostfränkisch, bairisch"
M192,M192: Gereimte Psalter-Paraphrase (Ps. 58-61)</h4>,13_1,obd,PV-X,13_1-obd-PV-X,"12-13,A","13,1V","Religion, Poesie",Psalmendichtung,V,oberdeutsch
M193,M193: Millstätter Interlinearversion zum Psalter und zu den Hymnen des Römischen Breviers</h4>,12_2,bair,P-X,12_2-bair-P-X,–,nicht vor 1200 (Schneider S. 37),Religion,Psalmenübersetzung,P,bairisch
M194,M194: Sonnenburger Psalmenfragmente</h4>,13_1,bair,P-X,13_1-bair-P-X,13,–,Religion,Psalmenübersetzung,P,(süd)bairisch
M195,M195: Windberger Psalter</h4>,12_2,bair,PV-G,12_2-bair-PV-G,12/2H,"12,3V-4V, wahrscheinlich 1174",Religion,Psalmenübersetzung,P,bairisch/ Windberg
M195Y,M195Y: Windberger Psalter</h4>,12_2,bair,P-X,12_2-bair-P-X,–,"12,4V, wahrscheinlich 1174",Religion,Psalmenübersetzung,P,bairisch/ Windberg
M196,M196: Benediktbeurer Ratschläge u. Gebete</h4>,13_1,bairalem,PV-X,13_1-bairalem-PV-X,–,"13,1V; nicht vor 1200 (Schneider, S. 90)",Religion,–,P,bairisch
M197,M197: Geistliche Ratschläge</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,11 (?),um 1100,Religion,geistliche Belehrung,P,bairisch
M198,M198: Vom Rechte</h4>,13_1,bair,V-X,13_1-bair-V-X,–,"um 1200 oder 13,A (Schneider 1987, S. 88)","Religion, Poesie",–,V,bairisch (mit Alemannismen)
M199A,M199A: Mittelfränkische Reimbibel (A)</h4>,12_2,wmd,PV-G,12_2-wmd-PV-G,um 1100,"12,2D","Religion, Poesie",Bibeldichtung,V,"mittelfränkisch, niederfränkisch, westfälisch/ Werden?"
M199B,M199B: Mittelfränkische Reimbibel (B)</h4>,12_2,obd,PV-X,12_2-obd-PV-X,um 1100,"12,M","Religion, Poesie",Bibeldichtung,V,"mittelfränkisch, bairisch"
M199C,M199C: Mittelfränkische Reimbibel (C)</h4>,12_2,omd_ofrk,PV-X,12_2-omd_ofrk-PV-X,um 1100,"12,3D oder um 1200",Religion,Bibeldichtung,V,"mittelfränkisch, ostfälisch (?)"
M200,M200: Londoner Reisesegen und Bruchstücke eines Gebets</h4>,12_2,omd_ofrk,PV-X,12_2-omd_ofrk-PV-X,12,"12,E","Religion, Alltag","Segen, Gebetsanweisung",P,"ostfränkisch, südthüringisch"
M201,M201: Weingartner Reisesegen</h4>,13_2,md,V-X,13_2-md-V-X,12/13 (?),–,"Religion, Alltag",Segen,PV,rheinfränkisch
M202,M202: Codex Falkensteinensis: Rezept gegen den Stein</h4>,12_2,bair,P-X,12_2-bair-P-X,–,"1168-1195 (Noichl, S. 67, 140 und 164)",Wissen(-schaft),Rezept,P,südbairisch
M203,M203: Rezept gegen Lähmung  'Contra paralisin id est vergiht'</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,11,–,Wissen(-schaft),Rezept,P,oberdeutsch
M204,M204: Rittersitte</h4>,12_2,wmd,PVU-X,12_2-wmd-PVU-X,–,"12,4V (Palmer S. 97)",Poesie,Lehrdichtung,V,rheinfränkisch
M205A,M205A: Pfaffe Konrad: 'Rolandslied' (A)</h4>,12-13_1,mdnd,V-X,12-13_1-mdnd-V-X,1172 (?),"12,3D (?)","Religion, Wissen(-schaft), Poesie",Legenden- und Geschichtsdichtung,V,"bairisch, niederdeutsch"
M205E,M205E: Pfaffe Konrad: 'Rolandslied' (E)</h4>,13_1,wmd,PV-X,13_1-wmd-PV-X,1172 (?),nicht vor 1220,"Religion, Wissen(-schaft), Poesie",Legenden- und Geschichtsdichtung,V,mittelfränkisch
M205M,M205M: Pfaffe Konrad: 'Rolandslied' (M)</h4>,12-13_1,mdnd,V-X,12-13_1-mdnd-V-X,1172 (?),"12,2V","Religion, Wissen(-schaft), Poesie",Legenden- und Geschichtsdichtung,V,"mitteldeutsch, niederdeutsch"
M205P,M205P: Pfaffe Konrad: 'Rolandslied' (P)</h4>,12_2,bair,V_Rol-X,12_2-bair-V_Rol-X,1172 (?),um 1200,"Religion, Wissen(-schaft), Poesie",Legenden- und Geschichtsdichtung,V,"bairisch, mitteldeutsch"
M205S,M205S: Pfaffe Konrad: 'Rolandslied' (S)</h4>,12-13_1,mdnd,V-X,12-13_1-mdnd-V-X,1172 (?),"13,1D","Religion, Wissen(-schaft), Poesie",Legenden- und Geschichtsdichtung,V,"mitteldeutsch, niederdeutsch"
M205T,M205T: Pfaffe Konrad: 'Rolandslied' (T)</h4>,13_1,wmd,PV-X,13_1-wmd-PV-X,1172 (?),"13,A","Religion, Wissen(-schaft), Poesie",Legenden- und Geschichtsdichtung,V,rheinfränkisch-hessisch
M205W,M205W: Pfaffe Konrad: 'Rolandslied' (W)</h4>,13_1,thurhess,PV-X,13_1-thurhess-PV-X,1172 (?),"13,1V","Religion, Wissen(-schaft), Poesie",Legenden- und Geschichtsdichtung,V,hessisch-thüringisch
M206,M206: König Rother (H)</h4>,12-13_1,mdnd,PV-X,12-13_1-mdnd-PV-X,um 1160-70,"13,1V",Poesie,frühhöfische Epik,V,"mitteldeutsch, niederdeutsch"
M207,M207: Deutsche Rubriken zu Texten eines Nonnenbreviers</h4>,12_2,bair,P-X,12_2-bair-P-X,12,–,Religion,Gebetsanweisungen,P,bairisch
M208,M208: Deutsche Rubriken zu lateinischen Gebeten</h4>,12_2,bair,P-X,12_2-bair-P-X,12,–,Religion,Gebetsanweisungen,P,bairisch
M209,M209: Scoph von dem lone</h4>,12_2,alem,PV-G,12_2-alem-PV-G,12,"12,4V","Religion, Poesie",Lehrdichtung,V,alemannisch
M210,M210: Oberdeutscher Servatius (n)</h4>,13_1,bair,V-X,13_1-bair-V-X,um 1190,"13,1V","Religion, Poesie",Heiligenlegende,V,bairisch
M212,M212: Gedicht von der Siebenzahl</h4>,12_2,bair,V_1-X,12_2-bair-V_1-X,–,"12,3V (?)","Religion, Poesie",Lehrdichtung,V,bairisch
M213,M213: Trierer Silvester</h4>,13_1,wmd,PV-X,13_1-wmd-PV-X,vor 1170,"um 1200 - 13,A","Religion, Poesie",Heiligenlegende,V,hessisch
M214,M214: Speculum ecclesiae</h4>,12_2,bairalem,PV-G,12_2-bairalem-PV-G,um 1180,um/nach 1200,Religion,Predigt,P,"ostalemannisch, bairisch"
M214W,M214W: Speculum ecclesiae W (Fragment M/G T9)</h4>,13_1,obd,PV-X,13_1-obd-PV-X,–,"13,1D",Religion,Predigt,P,oberfränkisch
M214Y,M214Y: Speculum ecclesiae deutsch</h4>,12_2,bairalem,PV-X,12_2-bairalem-PV-X,–,um/nach 1200 (Klemm S. 171),Religion,Predigt,P,mittelbairisch
M217,M217: Füssener Sprachproben</h4>,12_2,bairalem,PV-X,12_2-bairalem-PV-X,–,–,Alltag,–,P,alemannisch
M218A,M218A: St. Galler Schularbeit</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,11,–,Wissen(-schaft),Schulübersetzung,P,alemannisch
M218B,"M218B: St. Galler Schularbeit, Exzerpt</h4>",11-12_1,obd,PV-X,11-12_1-obd-PV-X,11,um 1100,Wissen(-schaft),Schulübersetzung,P,alemannisch
M219,M219: St. Veit</h4>,13_1,bair,V-X,13_1-bair-V-X,–,"13,A; evtl. 12,4V (Schneider)","Religion, Poesie",Heiligenlegende,V,bairisch
M220M,M220M: Prüler Steinbuch</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,–,"12,A (Keil [1989], Sp. 875)",Wissen(-schaft),Medizinliteratur,P,bairisch
M220P,M220P: Prüler Steinbuch (M1)</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,"12,1","12,M",Wissen(-schaft),Medizinliteratur,P,bairisch
M221,M221: Millstätter Sündenklage</h4>,12_2,bair,V_1-X,12_2-bair-V_1-X,–,"um 1200 oder 13,A (Schneider 1987, S. 88)","Religion, Poesie",Sündenklage,V,südbairisch
M222,M222: Uppsalaer Sündenklage</h4>,13_1,wmd,PV-X,13_1-wmd-PV-X,–,"13,2V","Religion, Poesie",Sündenklage,V,rheinfränkisch (mit vereinzelten mittelfränkischen Merkmalen)
M223,M223: Vorauer Sündenklage</h4>,12_2,bair,V_3-X,12_2-bair-V_3-X,"12,4V","12,4V","Religion, Poesie",Sündenklage,V,bairisch
M224,M224: Summa Theologiae</h4>,12_2,bair,V_2-X,12_2-bair-V_2-X,"12,4V","12,4V","Religion, Poesie",Reimpredigt,V,"rheinfränkisch, bairisch"
M225,M225: Tegernseer Prognostica</h4>,12_2,bair,P-X,12_2-bair-P-X,–,um 1200 (Schneider S. 187),"Wissen(-schaft), Alltag",Lunar,P,bairisch
M226,M226: Pfaffe Lambrecht: Tobias</h4>,12-13_1,mdnd,PV-X,12-13_1-mdnd-PV-X,–,"13,A (Holznagel)","Religion, Poesie",Bibeldichtung,V,"mitteldeutsch, niederdeutsch"
M227,M227: Tobiassegen G</h4>,13_2,alem,PV-X,13_2-alem-PV-X,–,"13,4V","Religion, Poesie",Segen,V,alemannisch
M228,M228: Tobiassegen U</h4>,13_1,obd,PV-X,13_1-obd-PV-X,–,–,"Religion, Poesie",Segen,V,oberdeutsch
M229,M229: Traditio Kuonradi</h4>,12_2,bairalem,PV-X,12_2-bairalem-PV-X,–,um 1200 (vgl. Wilhelm S. 197),Recht,Urkunde,P,alemannisch-schwäbisch
M230,M230: Schwäbische Trauformel</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,–,"12,2V",Recht,Trauformel,P,alemannisch
M232,M232: Niederrheinischer Tundalus</h4>,13_1,wmd,PV-G,13_1-wmd-PV-G,"12,4V","13,1V","Religion, Poesie",Heiligenlegende,V,"mittelfränkisch, hessisch/ Nassau? Kloster Eberbach oder Umfeld?"
M233,M233: Sangspruchstrophe MF 'Namenlos V'</h4>,13_1,bair,V-X,13_1-bair-V-X,–,"um 1200; 13,A",Poesie,Spruchdichtung,V,bairisch
M234,M234: Vaterunser</h4>,12_2,bair,P-X,12_2-bair-P-X,12,um/nach 1200,Religion,Gebet,P,westbairisch
M235,M235: Windberger Vaterunser-Erklärung</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,–,–,Religion,Vaterunser-Auslegung,P,bairisch/ Prämonstratenserkloster Windberg (?)
M236,M236: Verfahren beim Gottesurteil</h4>,13_1,bair,P-X,13_1-bair-P-X,–,"13,1V",Recht,–,P,bairisch
M238,M238: Die Wahrheit</h4>,12_2,bair,V_2-X,12_2-bair-V_2-X,"12,M","12,4V",Religion,Bußmahnung,V,bairisch
M239,M239: Wernher v. Niederrhein: Die vier schiven</h4>,13_2,md,V-X,13_2-md-V-X,"12,M","13,3V",Religion,Reimtheologie,V,mittelfränkisch
M240B,"M240B: Wernher von Elmendorf, Fragm. B</h4>",12_2,omd_ofrk,PV-X,12_2-omd_ofrk-PV-X,–,"12,E; um 1200","Wissen(-schaft), Poesie",Lehrdichtung,V,nordmitteldeutsch
M241,M241: Priester Wernher: Driu liet von der maget (D)</h4>,13_1,bair,PV-G,13_1-bair-PV-G,1172,"13,1V","Religion, Poesie",Mariendichtung,V,bairisch
M241E,M241E: Priester Wernher: Driu liet von der maget (E)</h4>,13_1,alem,PV-X,13_1-alem-PV-X,–,"13,A (Wesle S. XLII)","Religion, Poesie",Mariendichtung,V,alemannisch
M241I,M241I: Priester Wernher: Driu liet von der maget (D: Spruchbänder)</h4>,13_1,bair,V-X,13_1-bair-V-X,–,"13,1V (Schneider S. 83)","Religion, Poesie",Mariendichtung,V,mittelbairisch/ Regensburger Raum(?)
M241Y,M241Y: Priester Wernher: Driu liet von der maget (D)</h4>,13_1,bair,V-X,13_1-bair-V-X,–,"13,1V (Schneider S. 83)","Religion, Poesie",Mariendichtung,V,bairisch
M242,M242: Wiener Notker</h4>,11_2-12_1,obd,PV-G,11_2-12_1-obd-PV-G,11,um 1100,Religion,Psalmenübersetzung,P,bairisch
M242Y,M242Y: Wiener Notker</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,–,"11,E-12,A (Wunderle/Schmid), 11,E (um 1100?) (Eva Irblich, ÖNB Wien)",Religion,Psalmenübersetzung,P,bairisch
M243,M243: Der Wilde Mann: Dichtungen</h4>,13_2,md,V-X,13_2-md-V-X,"12,3D","13,3V","Religion, Poesie","Heiligenlegende, Lehrdichtung",V,mittelfränkisch
M244,M244: Williram von Ebersberg: 'Hoheliedkommentar' (Br/B)</h4>,11_2-12_1,obd,PV-G,11_2-12_1-obd-PV-G,um 1065,"11,E",Religion,Übersetzung und Kommentierung,P,ostfränkisch
M246,M246: Münchener Wundsegen</h4>,12_2,bair,P-X,12_2-bair-P-X,–,–,"Religion, Alltag",Segen,P,bairisch
M247,M247: Prüler Wurmsegen</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,–,"1143-1147 (Halm, S. 151)","Religion, Poesie",Segen,V,bairisch
M248,M248: Grazer Wurmsegen (B)</h4>,13_1,bair,V-X,13_1-bair-V-X,–,"um 1200; 13,A","Religion, Poesie",Segen,V,bairisch
M249,M249: Zehn Gebote</h4>,13_1,bair,V-X,13_1-bair-V-X,–,"13,1V","Religion, Poesie",Reimparaphrase,V,bairisch
M250,M250: Nonnengelöbnis</h4>,12_2,bair,V_1-X,12_2-bair-V_1-X,–,"1138-1165 (Schmid, S. 218, und Bruchhold, S. 163)","Religion, Recht",Gelöbnis,V,bairisch
M251,M251: Schreinskarten der Kölner Laurenzpfarre</h4>,12_2,wmd,PVU-X,12_2-wmd-PVU-X,1159-1170,1159-1170,Recht,Urkunde,U,mittelfränkisch/ Köln
M252,M252: Predigt von Christi Geburt (M/G T 38)</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,–,zwischen 1145 und 1153,Religion,Predigt,P,bairisch-ostalemannisch
M253,M253: Pariser Frauengebete</h4>,13_1,bair,P-X,13_1-bair-P-X,"13,1","13, Anfang",Religion,Gebet,P,bairisch
M254,M254: Pierpont Morgan-Gebet</h4>,13_1,bair,P-X,13_1-bair-P-X,"13,1","13, 2. Jahrzehnt",Religion,Gebet,P,bairisch
M255,M255: Pierpont Morgan-Gebet</h4>,13_1,bair,P-X,13_1-bair-P-X,"13,1","13,2. Jahrzehnt",Religion,Bildbeischriften,P,bairisch
M301,M301: Athis und Prophilias</h4>,13_2,omd,PV-G,13_2-omd-PV-G,"13,1 (um oder nach 1215-20?)","13,3V",Poesie,Antikenroman,V,hessisch-thüringisch
M302,M302: Bartholomäus (M1)</h4>,13_2,bair,PV-G,13_2-bair-PV-G,"12,E (VL 1, 609)","13,3V (bald nach 1250)",Wissen(-schaft),Arzneibuch,P,bairisch
M303,M303: Amtleutebuch von St. Brigida</h4>,13_2,mfrk,PUV-G,13_2-mfrk-PUV-G,–,"spätes 13. Jh. (K. Schneider); 13,M (Marburger Repertorium)",Recht,städtische Rechtssatzungen,P,ripuarisch/ Köln
M304,M304: Dietrichs Flucht (R)</h4>,13_2,bair,PV-G,13_2-bair-PV-G,ca. 1220-1300,um 1300,Poesie,Heldenepik,V,bairisch/ (wohl aus Niederösterr.)
M305,M305: Leben der heiligen Elisabeth (A)</h4>,14_1,rhfrhess,V-G,14_1-rhfrhess-V-G,nach 1297 (um oder kurz nach 1300),um 1320-30,"Religion, Poesie",Heiligenlegende,V,zentralhessisch/ Wetterau oder Marburg
M306,M306: Die Erlösung (B1)</h4>,14_1,rhfrhess,V-G,14_1-rhfrhess-V-G,"14,1D",1337,"Religion, Poesie",heilsgeschichtliche Erzählung,V,"rheinfränkisch-hessisch/ Mainzer Raum?, westliches Hessen?"
M307,M307: Frauenfelder Flore (Bruchstücke)</h4>,13_1,alem,PV-G,13_1-alem-PV-G,"um 1220? (VL 2, 744)","13,2V",Poesie,höfischer Roman,V,hochalemannisch
M308,"M308: Schlacht bei Göllheim,  Böhmenschlacht, Minnehof</h4>",14_1,mfrk,PUV-G,14_1-mfrk-PUV-G,"Aug./Sept. 1298 (Schlacht bei Göllheim) (Bach 1930, ⌡ 8); nach 1281 (Bach 1930, ⌡ 10); nach 1297 (Minnehof) (Bach 1930, ⌡ 12)","14,A",Poesie,"historische Kleindichtungen, Preisreden, Minnerede",V,ripuarisch
M309,M309: Hartwig von dem Hage: Margaretenlegende. Tagzeiten</h4>,14_1,bairalem,PUV-G,14_1-bairalem-PUV-G,"spätestens 13,3V",1348 (?),"Religion, Poesie","Heiligenlegende, Tagzeiten",V,bairisch-ostalemannisch (ostschwäbisch)/ Augsburg?
